 > > > -------   -------
 > > > Capsule Passed: dict_keys([])
 > > > -------   -------
0057 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0058 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.005
0059 > 1 Stanley2Cross  | offset 6.982  | angle 0.205  | speed_z 0.132  | Cross position []  | time:  0.005
0060 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.004
0061 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0062 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0063 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0064 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0065 > 1 Stanley2Cross  | offset 10.659  | angle 1.023  | speed_z 0.153  | Cross position []  | time:  0.009
0066 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.010
0067 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.008
0068 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.010
0069 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.008
0070 > 1 Stanley2Cross  | offset 7.893  | angle 0.273  | speed_z 0.145  | Cross position []  | time:  0.006
0071 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.134  | Cross position []  | time:  0.009
0072 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.134  | Cross position []  | time:  0.010
0073 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0074 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.007
0075 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.009
0076 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.008
0077 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.005
0078 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.008
0079 > 1 Stanley2Cross  | offset 6.500  | angle 0.000  | speed_z 0.134  | Cross position []  | time:  0.007
0080 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.008
0081 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0082 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.006
0083 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0084 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.010
0085 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0086 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.007
0087 > 1 Stanley2Cross  | offset 5.125  | angle 0.477  | speed_z 0.078  | Cross position []  | time:  0.007
0088 > 1 Stanley2Cross  | offset 2.535  | angle 1.500  | speed_z -0.037  | Cross position []  | time:  0.005
0089 > 1 Stanley2Cross  | offset 5.922  | angle 2.726  | speed_z -0.041  | Cross position []  | time:  0.007
0090 > 1 Stanley2Cross  | offset 9.617  | angle 2.386  | speed_z 0.052  | Cross position []  | time:  0.004
0091 > 1 Stanley2Cross  | offset 7.893  | angle 3.882  | speed_z -0.071  | Cross position []  | time:  0.007
0092 > 1 Stanley2Cross  | offset 3.634  | angle 4.086  | speed_z -0.169  | Cross position []  | time:  0.005
0093 > 1 Stanley2Cross  | offset -7.811  | angle 4.831  | speed_z -0.450  | Cross position []  | time:  0.005
0094 > 1 Stanley2Cross  | offset -13.372  | angle 8.931  | speed_z -0.798  | Cross position []  | time:  0.005
0095 > 1 Stanley2Cross  | offset -19.447  | angle 8.464  | speed_z -0.866  | Cross position []  | time:  0.008
0096 > 1 Stanley2Cross  | offset -24.696  | angle 7.528  | speed_z -0.879  | Cross position []  | time:  0.005
0097 > 1 Stanley2Cross  | offset -45.757  | angle 4.696  | speed_z -0.889  | Cross position []  | time:  0.004
0098 > 1 Stanley2Cross  | offset -42.037  | angle 5.508  | speed_z -0.915  | Cross position []  | time:  0.006
0099 > 1 Stanley2Cross  | offset -22.465  | angle 7.528  | speed_z -0.851  | Cross position []  | time:  0.009
0100 > 1 Stanley2Cross  | offset -15.560  | angle 5.237  | speed_z -0.613  | Cross position []  | time:  0.008
0101 > 1 Stanley2Cross  | offset -15.359  | angle 4.696  | speed_z -0.578  | Cross position []  | time:  0.022
0102 > 1 Stanley2Cross  | offset -16.443  | angle 4.764  | speed_z -0.599  | Cross position []  | time:  0.009
0103 > 1 Stanley2Cross  | offset -20.049  | angle 2.726  | speed_z -0.531  | Cross position []  | time:  0.010
0104 > 1 Stanley2Cross  | offset -18.925  | angle 1.091  | speed_z -0.416  | Cross position []  | time:  0.007
0105 > 1 Stanley2Cross  | offset -20.000  | angle 0.000  | speed_z -0.366  | Cross position []  | time:  0.004
0106 > 1 Stanley2Cross  | offset -19.000  | angle 0.000  | speed_z -0.352  | Cross position []  | time:  0.007
0107 > 1 Stanley2Cross  | offset -16.000  | angle -0.000  | speed_z -0.306  | Cross position []  | time:  0.005
0108 > 1 Stanley2Cross  | offset -17.658  | angle -1.023  | speed_z -0.271  | Cross position []  | time:  0.010
0109 > 1 Stanley2Cross  | offset -16.069  | angle -1.091  | speed_z -0.242  | Cross position []  | time:  0.006
0110 > 1 Stanley2Cross  | offset -16.299  | angle -1.296  | speed_z -0.233  | Cross position []  | time:  0.005
0111 > 1 Stanley2Cross  | offset -15.530  | angle -1.500  | speed_z -0.209  | Cross position []  | time:  0.005
0112 > 1 Stanley2Cross  | offset -12.069  | angle -1.091  | speed_z -0.174  | Cross position []  | time:  0.005
0113 > 1 Stanley2Cross  | offset -13.851  | angle -1.637  | speed_z -0.173  | Cross position []  | time:  0.007
0114 > 1 Stanley2Cross  | offset -14.062  | angle -2.045  | speed_z -0.152  | Cross position []  | time:  0.006
0115 > 1 Stanley2Cross  | offset -12.583  | angle -1.841  | speed_z -0.138  | Cross position []  | time:  0.007
0116 > 1 Stanley2Cross  | offset -13.453  | angle -2.318  | speed_z -0.125  | Cross position []  | time:  0.008
0117 > 1 Stanley2Cross  | offset -14.432  | angle -2.522  | speed_z -0.129  | Cross position []  | time:  0.010
0118 > 1 Stanley2Cross  | offset -12.954  | angle -2.318  | speed_z -0.116  | Cross position []  | time:  0.009
0119 > 1 Stanley2Cross  | offset -11.583  | angle -1.841  | speed_z -0.121  | Cross position []  | time:  0.007
0120 > 1 Stanley2Cross  | offset -9.834  | angle -1.841  | speed_z -0.088  | Cross position []  | time:  0.010
0121 > 1 Stanley2Cross  | offset -12.064  | angle -2.045  | speed_z -0.117  | Cross position []  | time:  0.009
0122 > 1 Stanley2Cross  | offset -12.454  | angle -2.318  | speed_z -0.108  | Cross position []  | time:  0.006
0123 > 1 Stanley2Cross  | offset -12.914  | angle -2.726  | speed_z -0.091  | Cross position []  | time:  0.009
0124 > 1 Stanley2Cross  | offset -11.365  | angle -2.386  | speed_z -0.084  | Cross position []  | time:  0.009
0125 > 1 Stanley2Cross  | offset -9.066  | angle -2.045  | speed_z -0.062  | Cross position []  | time:  0.007
0126 > 1 Stanley2Cross  | offset -9.066  | angle -2.045  | speed_z -0.062  | Cross position []  | time:  0.010
0127 > 1 Stanley2Cross  | offset -8.745  | angle -1.909  | speed_z -0.064  | Cross position []  | time:  0.008
0128 > 1 Stanley2Cross  | offset -8.745  | angle -1.909  | speed_z -0.064  | Cross position []  | time:  0.008
0129 > 1 Stanley2Cross  | offset -5.552  | angle -1.296  | speed_z -0.037  | Cross position []  | time:  0.007
0130 > 1 Stanley2Cross  | offset -6.194  | angle -1.568  | speed_z -0.034  | Cross position []  | time:  0.010
0131 > 1 Stanley2Cross  | offset -3.660  | angle -1.023  | speed_z -0.015  | Cross position []  | time:  0.008
0132 > 1 Stanley2Cross  | offset -3.178  | angle -0.818  | speed_z -0.017  | Cross position []  | time:  0.008
0133 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.040  | Cross position []  | time:  0.009
0134 > 1 Stanley2Cross  | offset -5.660  | angle -1.023  | speed_z -0.056  | Cross position []  | time:  0.009
0135 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.037  | Cross position []  | time:  0.011
0136 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.037  | Cross position []  | time:  0.007
0137 > 1 Stanley2Cross  | offset -4.071  | angle -1.091  | speed_z -0.019  | Cross position []  | time:  0.008
0138 > 1 Stanley2Cross  | offset -1.875  | angle -0.477  | speed_z -0.011  | Cross position []  | time:  0.009
0139 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.021  | Cross position []  | time:  0.011
0140 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.040  | Cross position []  | time:  0.005
0141 > 1 Stanley2Cross  | offset -4.910  | angle -1.023  | speed_z -0.041  | Cross position []  | time:  0.008
0142 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.021  | Cross position []  | time:  0.010
0143 > 1 Stanley2Cross  | offset -3.125  | angle -0.477  | speed_z -0.037  | Cross position []  | time:  0.009
0144 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.063  | Cross position []  | time:  0.007
0145 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.063  | Cross position []  | time:  0.010
0146 > 1 Stanley2Cross  | offset -5.196  | angle -0.614  | speed_z -0.071  | Cross position []  | time:  0.008
0147 > 1 Stanley2Cross  | offset -3.000  | angle 0.000  | speed_z -0.063  | Cross position []  | time:  0.009
0148 > 1 Stanley2Cross  | offset -2.804  | angle -0.341  | speed_z -0.038  | Cross position []  | time:  0.010
0149 > 1 Stanley2Cross  | offset -1.000  | angle 0.000  | speed_z -0.021  | Cross position []  | time:  0.006
0150 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.040  | Cross position []  | time:  0.010
0151 > 1 Stanley2Cross  | offset -5.071  | angle -1.091  | speed_z -0.040  | Cross position []  | time:  0.009
0152 > 1 Stanley2Cross  | offset -3.678  | angle -0.818  | speed_z -0.028  | Cross position []  | time:  0.007
0153 > 1 Stanley2Cross  | offset -4.660  | angle -1.023  | speed_z -0.036  | Cross position []  | time:  0.007
0154 > 1 Stanley2Cross  | offset -3.678  | angle -0.818  | speed_z -0.028  | Cross position []  | time:  0.006
0155 > 1 Stanley2Cross  | offset -1.000  | angle -0.000  | speed_z -0.021  | Cross position [125]  | time:  0.010
0156 > 1 Stanley2Cross  | offset -2.000  | angle 0.000  | speed_z -0.042  | Cross position [135, 125]  | time:  0.009
0157 > 1 Stanley2Cross  | offset 4.348  | angle 1.718  | speed_z -0.012  | Cross position [145, 135, 125]  | time:  0.009
    >>> -------   -------
    >>> Capsule Passed: dict_keys(['dist_from_cross'])
    >>> -------   -------
0158 > 2 Turn2Road  | phase 0.000  | capsule keys dict_keys(['dist_from_cross'])  | radius 265.000  | rot_z 0.900  | SPEED_X 0.199  | time:  0.010
0159 > 2 Turn2Road  | phase 1.000  | time:  0.005
0160 > 2 Turn2Road  | phase 1.000  | time:  0.006
0161 > 2 Turn2Road  | phase 1.000  | time:  0.005
0162 > 2 Turn2Road  | phase 1.000  | time:  0.005
0163 > 2 Turn2Road  | phase 1.000  | time:  0.005
0164 > 2 Turn2Road  | phase 1.000  | time:  0.007
0165 > 2 Turn2Road  | phase 1.000  | time:  0.010
0166 > 2 Turn2Road  | phase 1.000  | time:  0.004
0167 > 2 Turn2Road  | phase 1.000  | time:  0.007
0168 > 2 Turn2Road  | phase 1.000  | time:  0.010
0169 > 2 Turn2Road  | phase 1.000  | time:  0.007
0170 > 2 Turn2Road  | phase 1.000  | time:  0.008
0171 > 2 Turn2Road  | phase 1.000  | time:  0.008
0172 > 2 Turn2Road  | phase 1.000  | time:  0.010
0173 > 2 Turn2Road  | phase 1.000  | time:  0.007
0174 > 2 Turn2Road  | phase 1.000  | time:  0.007
0175 > 2 Turn2Road  | phase 1.000  | time:  0.008
0176 > 2 Turn2Road  | phase 1.000  | time:  0.010
0177 > 2 Turn2Road  | phase 1.000  | line_not_shown   | time:  0.006
0178 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.009
0179 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.008
0180 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.007
0181 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.005
0182 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.005
0183 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.006
0184 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.006
0185 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.007
0186 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.008
0187 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.010
0188 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.004
0189 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.006
0190 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.010
0191 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.009
0192 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.007
0193 > 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.008
0194 > 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 7.116  | time:  0.010
0195 > 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 4.850  | time:  0.007
 > > > -------   -------
 > > > Capsule Passed: dict_keys(['dist_from_cross'])
 > > > -------   -------
0196 > 3 Stanley2Green  | phase  1.000  | offset -6.365  | angle 4.850  | z speed  -0.42250818719845784  | true green? 224.000  | true green at [0, 120]  | true green from line 10.290  | time:  0.008
0197 > 3 Stanley2Green  | phase  1.000  | offset -8.086  | angle 4.367  | z speed  -0.42748020378193585  | true green? 133.000  | true green at [90, 110]  | true green from line 11.748  | time:  0.008
0198 > 3 Stanley2Green  | phase  1.000  | offset -8.278  | angle 3.572  | z speed  -0.38352228987748416  | true green? 180.000  | true green at [70, 110]  | true green from line 8.877  | time:  0.008
0199 > 3 Stanley2Green  | phase  1.000  | offset -6.650  | angle 3.191  | z speed  -0.32869485445240093  | true green? 170.000  | true green at [80, 100]  | true green from line 14.481  | time:  0.005
0200 > 3 Stanley2Green  | phase  1.000  | offset -9.999  | angle 2.152  | z speed  -0.33110145470220287  | true green? 216.000  | true green at [100, 100]  | true green from line 11.271  | time:  0.009
0201 > 3 Stanley2Green  | phase  2.000  | offset -8.072  | angle 1.701  | Dist ratio  0.100  | time:  0.008
0202 > 3 Stanley2Green  | phase  2.000  | offset -9.466  | angle 0.764  | Dist ratio  -0.033  | time:  0.009
   / - -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ - -------   -------
0203 > 4 Turn2Void  | phase 0.000  | time:  0.009
0204 > 4 Turn2Void  | phase 1.000  | angle -6.340  | time 1.784  | time:  0.006
0205 > 4 Turn2Void  | phase 3.000  | time:  0.010
0206 > 4 Turn2Void  | phase 3.000  | time:  0.008
0207 > 4 Turn2Void  | phase 3.000  | time:  0.009
0208 > 4 Turn2Void  | phase 3.000  | time:  0.009
0209 > 4 Turn2Void  | phase 3.000  | time:  0.008
0210 > 4 Turn2Void  | phase 3.000  | time:  0.006
0211 > 4 Turn2Void  | phase 3.000  | time:  0.008
0212 > 4 Turn2Void  | phase 3.000  | time:  0.006
0213 > 4 Turn2Void  | phase 3.000  | time:  0.007
0214 > 4 Turn2Void  | phase 3.000  | time:  0.004
0215 > 4 Turn2Void  | phase 3.000  | time:  0.005
0216 > 4 Turn2Void  | phase 3.000  | time:  0.006
0217 > 4 Turn2Void  | phase 3.000  | time:  0.006
0218 > 4 Turn2Void  | phase 3.000  | time:  0.004
