>>> -------   -------
>>> Capsule Passed: dict_keys([])
>>> -------   -------
0057 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.072
0058 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.058
0059 > 1 Stanley2Cross  | offset 6.982  | angle 0.205  | speed_z 0.151  | Cross position []  | time:  0.039
0060 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.054
0061 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.057
0062 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.033
0063 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.047
0064 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.056
0065 > 1 Stanley2Cross  | offset 10.659  | angle 1.023  | speed_z 0.180  | Cross position []  | time:  0.044
0066 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.172  | Cross position []  | time:  0.033
0067 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.172  | Cross position []  | time:  0.042
0068 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.172  | Cross position []  | time:  0.041
0069 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.172  | Cross position []  | time:  0.043
0070 > 1 Stanley2Cross  | offset 7.893  | angle 0.273  | speed_z 0.167  | Cross position []  | time:  0.053
0071 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.160  | Cross position []  | time:  0.052
0072 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.160  | Cross position []  | time:  0.056
0073 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.164  | Cross position []  | time:  0.036
0074 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.036
0075 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.045
0076 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.045
0077 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.053
0078 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.141  | Cross position []  | time:  0.068
