>>> -------   -------
>>> Capsule Passed: {}
>>> -------   -------
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.999999999999972  | angle -8.307074708464841e-15  | speed_z 0.18582176672547362  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.088474478811718  | angle -1.023030188667822  | speed_z 0.18185946951380963  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 4.820936664211978  | angle -0.8184554616886036  | speed_z 0.1634067987588878  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 6.124787337464999  | angle -0.47745377730957966  | speed_z 0.1728027754104377  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.124752617051235  | angle -0.47745377730955646  | speed_z 0.19522522972559408  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 4.820936664211978  | angle -0.8184554616886036  | speed_z 0.1634067987588878  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 6.982098328596518  | angle 0.20462691396585703  | speed_z 0.15112912783651453  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 10.659014960879166  | angle 1.0230301886678452  | speed_z 0.1804317018063234  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.677583970381031  | angle 0.8184554616886233  | speed_z 0.17249630281638906  | Cross position []  | time:  0.00047397613525390625
1 Stanley2Cross  | offset 9.677583970381031  | angle 0.8184554616886233  | speed_z 0.17249630281638906  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.677583970381031  | angle 0.8184554616886233  | speed_z 0.17249630281638906  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.677583970381031  | angle 0.8184554616886233  | speed_z 0.17249630281638906  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.892767656202794  | angle 0.2728349830680903  | speed_z 0.16711424800862199  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.659174361533692  | angle 1.0230301886678361  | speed_z 0.15983747298484965  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.659174361533692  | angle 1.0230301886678361  | speed_z 0.15983747298484965  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.999999999999943  | angle -1.253700590024457e-14  | speed_z 0.14132698843251748  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 6.500000000000043  | angle 7.0684376494213884e-15  | speed_z 0.15262083513196012  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.000000000000057  | angle 5.301597282726614e-15  | speed_z 0.1638052218520273  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.999999999999972  | angle -8.307074708464841e-15  | speed_z 0.18582176672547362  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.124822057878976  | angle 0.4774537773095963  | speed_z 0.0926678331087755  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 2.5348450576171064  | angle 1.5002607817273717  | speed_z -0.029386568813836125  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.921861102223482  | angle 2.7263109939062655  | speed_z -0.024026121990479724  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 9.616655828513775  | angle 2.385944030388792  | speed_z 0.07717423554289865  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.892564137026326  | angle 3.881976887726185  | speed_z -0.04943870801903824  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 3.633599549383203  | angle 4.085616779974835  | speed_z -0.1585370244465403  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -7.811431868356187  | angle 4.831373838679962  | speed_z -0.47158999661039536  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -13.371622518867772  | angle 8.930590100419009  | speed_z -0.8305247848176922  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -19.446578086798176  | angle 8.46404566396267  | speed_z -0.9045005459880684  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -24.696029662308472  | angle 7.527615112420303  | speed_z -0.9192258953475573  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -45.75660363783561  | angle 4.695896195233736  | speed_z -0.9242007316513966  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -42.03715448461771  | angle 5.507920549804676  | speed_z -0.9510397158785937  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -22.465420531519346  | angle 7.527615112420292  | speed_z -0.8908871400499976  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -15.55976413379914  | angle 5.2374760668124765  | speed_z -0.6482809641626477  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -15.358984418301153  | angle 4.69589619523373  | speed_z -0.6123003802204855  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -16.443005011040544  | angle 4.763641690726169  | speed_z -0.6348884788252136  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -20.048710478611852  | angle 2.7263109939062753  | speed_z -0.5691353840357074  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -18.925138608189858  | angle 1.0912162252625859  | speed_z -0.4542547342924938  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -19.999999999999858  | angle 2.6562567220356304e-14  | speed_z -0.4048445653341312  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -18.999999999999957  | angle 4.7865010854349556e-15  | speed_z -0.3899222696471682  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -16.0  | angle -6.678838723862728e-15  | speed_z -0.3415879146603968  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -17.657899156297308  | angle -1.0230301886678546  | speed_z -0.30758956996932024  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -16.06851391261395  | angle -1.0912162252625899  | speed_z -0.27728001517080914  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -16.299402400897385  | angle -1.2957550166887954  | speed_z -0.26891258159860076  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -15.530388733287918  | angle -1.5002607817273865  | speed_z -0.24350832272320383  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -12.069239338807813  | angle -1.0912162252625912  | speed_z -0.2043881239219018  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -13.851490340955344  | angle -1.6365770416167207  | speed_z -0.20537816932590008  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -14.062463021890503  | angle -2.045408488887226  | speed_z -0.1847084926880805  | Cross position []  | time:  0.004207611083984375
1 Stanley2Cross  | offset -12.582787355483463  | angle -1.8410162069245097  | speed_z -0.16931500382088432  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -13.453269830393403  | angle -2.3178496429030115  | speed_z -0.15713997948335456  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -14.432434503587189  | angle -2.522112384043955  | speed_z -0.16280872170051947  | Cross position []  | time:  0.0050201416015625
1 Stanley2Cross  | offset -12.953678908309925  | angle -2.3178496429030333  | speed_z -0.14776484947493226  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -11.583303537175478  | angle -1.8410162069244944  | speed_z -0.14987030254382686  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -9.83420685513671  | angle -1.8410162069245068  | speed_z -0.11440482630837513  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -12.063737313195404  | angle -2.045408488887229  | speed_z -0.14702948926057402  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -12.454087986226222  | angle -2.3178496429030053  | speed_z -0.13823542877058176  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -12.913938066294318  | angle -2.72631099390623  | speed_z -0.12250477020300493  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -11.365138706425517  | angle -2.3859440303888175  | speed_z -0.11284973559178979  | Cross position []  | time:  0.005282402038574219
1 Stanley2Cross  | offset -9.065648750152684  | angle -2.045408488887215  | speed_z -0.08600247367307173  | Cross position []  | time:  0.0025658607482910156
1 Stanley2Cross  | offset -9.065648750152684  | angle -2.045408488887215  | speed_z -0.08600247367307173  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -8.745142936067559  | angle -1.9091524329963723  | speed_z -0.0873518912244582  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -8.745142936067559  | angle -1.9091524329963723  | speed_z -0.0873518912244582  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.552151310710978  | angle -1.2957550166888172  | speed_z -0.05337820719623254  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -6.1941070941488725  | angle -1.5684211317132994  | speed_z -0.0516187452305413  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.6601307654609525  | angle -1.0230301886678261  | speed_z -0.025841652844743025  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.1782471341842444  | angle -0.8184554616886308  | speed_z -0.02676360816739768  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.070508834647108  | angle -1.0912162252626085  | speed_z -0.05459060332963698  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.659811964152013  | angle -1.0230301886678568  | speed_z -0.072201845235678  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.1248914987066603  | angle -0.47745377730958766  | speed_z -0.0459632061190879  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.1248914987066603  | angle -0.47745377730958766  | speed_z -0.0459632061190879  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -4.070690191195486  | angle -1.091216225262585  | speed_z -0.03137366685930827  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -1.8749348992238655  | angle -0.47745377730955596  | speed_z -0.016267128308403194  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -0.9999999999999858  | angle 1.1131397873104547e-16  | speed_z -0.023987212273973695  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.070508834647108  | angle -1.0912162252626085  | speed_z -0.05459060332963698  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -4.909931514642787  | angle -1.0230301886678304  | speed_z -0.054975588355856086  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -0.9999999999999858  | angle 1.1131397873104547e-16  | speed_z -0.023987212273973695  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.1248914987066603  | angle -0.47745377730958766  | speed_z -0.0459632061190879  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -2.9999999999998437  | angle 3.045855647594289e-14  | speed_z -0.0716573556110012  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -2.9999999999998437  | angle 3.045855647594289e-14  | speed_z -0.0716573556110012  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.1961303327105925  | angle -0.6138598631093045  | speed_z -0.0861249250698801  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -2.9999999999998437  | angle 3.045855647594289e-14  | speed_z -0.0716573556110012  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -2.8035217634473115  | angle -0.34104227885887084  | speed_z -0.046542047621256924  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -0.9999999999999858  | angle 1.1131397873104547e-16  | speed_z -0.023987212273973695  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.070508834647108  | angle -1.0912162252626085  | speed_z -0.05459060332963698  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -5.070508834647108  | angle -1.0912162252626085  | speed_z -0.05459060332963698  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.6781961215839427  | angle -0.818455461688624  | speed_z -0.03854056267610037  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -4.65997136480644  | angle -1.0230301886678386  | speed_z -0.04918858278242996  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -3.6781961215839427  | angle -0.818455461688624  | speed_z -0.03854056267610037  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -1.000000000000071  | angle -1.821570016459858e-14  | speed_z -0.023987212273974635  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset -1.9999999999998863  | angle 1.838456129744988e-14  | speed_z -0.047897991427340775  | Cross position [135, 125]  | time:  0.0
1 Stanley2Cross  | offset 4.34804382032229  | angle 1.7183580016554543  | speed_z 0.00021808079562440354  | Cross position [145, 135, 125]  | time:  0.0
1 Stanley2Cross  | offset 1.923307174478613  | angle 1.3093898194105613  | speed_z -0.032494760879075775  | Cross position [135, 125]  | time:  0.0009970664978027344
>>> -------   -------
>>> Capsule Passed: {'dist_from_cross': np.float64(270.0)}
>>> -------   -------
2 Turn2Road  | phase 0  | {'dist_from_cross': np.float64(270.0)}   | radius 265.7148342149424  | rot_z 0.9  | SPEED_X 0.19928612566120682  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0010159015655517578
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0015158653259277344
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0021622180938720703
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.002679109573364258
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | time:  0.0
2 Turn2Road  | phase 1  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
2 Turn2Road  | phase 2  | line_not_shown   | time:  0.0
