   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.120
0003 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.032
0004 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.036
0005 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.028
0006 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.033
0007 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.025
0008 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.016
0009 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.028
0010 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.033
0011 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.032
0012 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.045
0013 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.018
0014 : 1 Stanley2Cross  | offset 0.964  | angle -1.500  | speed_z 0.092  | Cross position []  | time:  0.034
0015 : 1 Stanley2Cross  | offset -0.589  | angle -1.841  | speed_z 0.082  | Cross position []  | time:  0.028
0016 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.083  | Cross position []  | time:  0.031
0017 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.039
0018 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.096  | Cross position []  | time:  0.034
0019 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.107  | Cross position []  | time:  0.032
0020 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.106  | Cross position []  | time:  0.033
0021 : 1 Stanley2Cross  | offset 1.928  | angle -1.091  | speed_z 0.088  | Cross position []  | time:  0.029
0022 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.032
0023 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.106  | Cross position []  | time:  0.033
0024 : 1 Stanley2Cross  | offset 2.053  | angle -1.568  | speed_z 0.114  | Cross position []  | time:  0.033
