   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.076
0003 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.034
0004 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.038
0005 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.036
0006 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.033
0007 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.033
0008 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.034
0009 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.033
0010 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.033
0011 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.025
0012 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.043
0013 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.037
0014 : 1 Stanley2Cross  | offset 0.964  | angle -1.500  | speed_z 0.276  | Cross position []  | time:  0.033
0015 : 1 Stanley2Cross  | offset -0.589  | angle -1.841  | speed_z 0.245  | Cross position []  | time:  0.044
0016 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.249  | Cross position []  | time:  0.035
0017 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.038
0018 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.033
0019 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.322  | Cross position []  | time:  0.033
0020 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.317  | Cross position []  | time:  0.031
