1_Stanley2Green_  | phase  1  | time:  0.152464151382
1_Stanley2Green_  | phase  1  | time:  0.0115358829498
1_Stanley2Green_  | phase  1  | time:  0.0126061439514
1_Stanley2Green_  | phase  1  | time:  0.0125930309296
1_Stanley2Green_  | phase  1  | time:  0.012088060379
1_Stanley2Green_  | phase  1  | time:  0.0116329193115
1_Stanley2Green_  | phase  1  | time:  0.0117540359497
1_Stanley2Green_  | phase  1  | time:  0.0118927955627
1_Stanley2Green_  | phase  1  | time:  0.0120689868927
1_Stanley2Green_  | phase  1  | time:  0.0114841461182
1_Stanley2Green_  | phase  1  | time:  0.0125231742859
1_Stanley2Green_  | phase  1  | time:  0.0118210315704
1_Stanley2Green_  | phase  1  | time:  0.0115759372711
1_Stanley2Green_  | phase  1  | time:  0.0120460987091
1_Stanley2Green_  | phase  1  | time:  0.0115270614624
1_Stanley2Green_  | phase  1  | time:  0.0111539363861
1_Stanley2Green_  | phase  1  | time:  0.0114579200745
1_Stanley2Green_  | phase  1  | time:  0.0110690593719
1_Stanley2Green_  | phase  1  | time:  0.0113749504089
1_Stanley2Green_  | phase  1  | time:  0.0124619007111
1_Stanley2Green_  | phase  1  | time:  0.012011051178
1_Stanley2Green_  | phase  1  | time:  0.0120258331299
1_Stanley2Green_  | phase  1  | time:  0.0134119987488
1_Stanley2Green_  | phase  1  | time:  0.0122621059418
1_Stanley2Green_  | phase  1  | time:  0.0118880271912
1_Stanley2Green_  | phase  1  | time:  0.0116899013519
1_Stanley2Green_  | phase  1  | time:  0.0115661621094
1_Stanley2Green_  | phase  1  | time:  0.0135381221771
1_Stanley2Green_  | phase  1  | time:  0.0129518508911
1_Stanley2Green_  | phase  1  | time:  0.0139441490173
1_Stanley2Green_  | phase  1  | time:  0.0139741897583
1_Stanley2Green_  | phase  1  | time:  0.0143160820007
1_Stanley2Green_  | phase  1  | time:  0.0152459144592
1_Stanley2Green_  | phase  1  | offset -15.4866734376  | angle -3.9868948798  | z speed  -0.0935526587733  | time:  0.0227110385895
1_Stanley2Green_  | phase  1  | offset -15.2871574417  | angle -3.9868948798  | z speed  -0.0900798230447  | time:  0.0227580070496
1_Stanley2Green_  | phase  1  | offset -16.6959469143  | angle -4.53941571175  | z speed  -0.0809228590526  | time:  0.022469997406
1_Stanley2Green_  | phase  1  | offset -14.5975646238  | angle -4.33231398319  | z speed  -0.0571606028857  | time:  0.022449016571
1_Stanley2Green_  | phase  1  | offset -15.7555088764  | angle -4.84984390178  | z speed  -0.0464160502847  | time:  0.0230760574341
1_Stanley2Green_  | phase  1  | offset -14.1547769552  | angle -4.5739212599  | z speed  -0.0346780900617  | time:  0.0236558914185
1_Stanley2Green_  | phase  1  | offset -16.7065567569  | angle -5.09109182112  | z speed  -0.0479983540437  | time:  0.0225758552551
1_Stanley2Green_  | phase  1  | offset -14.7528661223  | angle -4.5739212599  | z speed  -0.0454362130513  | time:  0.0223119258881
1_Stanley2Green_  | phase  1  | offset -16.7544972953  | angle -4.98772151507  | z speed  -0.0549952455642  | time:  0.0219378471375
1_Stanley2Green_  | phase  1  | offset -16.1540767514  | angle -4.84984390178  | z speed  -0.0532132710336  | time:  0.0223939418793
1_Stanley2Green_  | phase  1  | offset -16.5526446264  | angle -4.84984390178  | z speed  -0.0599124178839  | time:  0.0211288928986
1_Stanley2Green_  | phase  1  | offset -16.1540767514  | angle -4.84984390178  | z speed  -0.0532132710336  | time:  0.022647857666
1_Stanley2Green_  | phase  1  | offset -16.1540767514  | angle -4.84984390178  | z speed  -0.0532132710336  | time:  0.0225739479065
1_Stanley2Green_  | phase  1  | offset -16.1540767514  | angle -4.84984390178  | z speed  -0.0532132710336  | time:  0.0239388942719
1_Stanley2Green_  | phase  1  | offset -16.3560119542  | angle -4.98772151507  | z speed  -0.0483469795862  | time:  0.0240910053253
1_Stanley2Green_  | phase  1  | offset -15.7105018825  | angle -5.09109182112  | z speed  -0.0311674402471  | time:  0.0226199626923
1_Stanley2Green_  | phase  1  | offset -14.4111136459  | angle -4.8843186468  | z speed  -0.0206924111949  | time:  0.0225360393524
1_Stanley2Green_  | phase  1  | offset -15.2138518027  | angle -5.15998694376  | z speed  -0.0184121012345  | time:  0.0221560001373
1_Stanley2Green_  | phase  1  | offset -11.2072794845  | angle -4.33231398319  | z speed  0.00707966231248  | time:  0.0214540958405
1_Stanley2Green_  | phase  1  | offset -12.7155660036  | angle -4.81536563631  | z speed  0.00660879659965  | time:  0.0221588611603
1_Stanley2Green_  | phase  1  | offset -11.0078509469  | angle -4.33231398319  | z speed  0.0110768716535  | time:  0.0217959880829
1_Stanley2Green_  | phase  1  | offset -10.3035410098  | angle -4.12509877003  | z speed  0.0129483515537  | time:  0.022647857666
1_Stanley2Green_  | phase  1  | offset -11.4535825969  | angle -4.22872022936  | z speed  -0.00403992283975  | time:  0.0222108364105
1_Stanley2Green_  | phase  1  | offset -11.5513095528  | angle -4.15964229371  | z speed  -0.0101202806709  | time:  0.0223858356476
1_Stanley2Green_  | phase  1  | offset -10.8425987154  | angle -3.81407483429  | z speed  -0.0166873964519  | time:  0.0226011276245
1_Stanley2Green_  | phase  1  | offset -11.8403838732  | angle -3.81407483429  | z speed  -0.0365463004716  | time:  0.0218250751495
1_Stanley2Green_  | phase  1  | offset -11.4793557229  | angle -3.43363036245  | z speed  -0.0522563619725  | time:  0.022392988205
1_Stanley2Green_  | phase  1  | offset -12.4775605683  | angle -3.43363036245  | z speed  -0.0717397519  | time:  0.0222518444061
1_Stanley2Green_  | phase  1  | offset -12.5199473645  | angle -3.19136928046  | z speed  -0.0870892757238  | time:  0.0215759277344
1_Stanley2Green_  | phase  1  | offset -12.8683229251  | angle -3.15675102494  | z speed  -0.0958135512121  | time:  0.0230751037598
1_Stanley2Green_  | phase  1  | offset -13.4248267164  | angle -3.39902895864  | z speed  -0.0917396246353  | time:  0.0233030319214
1_Stanley2Green_  | phase  1  | offset -13.3270618065  | angle -3.46822925892  | z speed  -0.0857634437733  | time:  0.0242879390717
1_Stanley2Green_  | phase  1  | offset -14.332965834  | angle -3.74492717354  | z speed  -0.0876462316398  | time:  0.0225100517273
1_Stanley2Green_  | phase  1  | offset -13.4798221512  | angle -3.57201065471  | z speed  -0.0823842554848  | time:  0.0225739479065
1_Stanley2Green_  | phase  1  | offset -13.8829606498  | angle -3.7103492334  | z speed  -0.0815294160186  | time:  0.0234220027924
1_Stanley2Green_  | phase  1  | offset -12.8850567041  | angle -3.7103492334  | z speed  -0.0629150635886  | time:  0.0227270126343
1_Stanley2Green_  | phase  1  | offset -13.9413473749  | angle -4.0214502722  | z speed  -0.0639332980661  | time:  0.0237398147583
1_Stanley2Green_  | phase  1  | offset -14.445415518  | angle -4.22872022936  | z speed  -0.0606458674082  | time:  0.0227110385895
1_Stanley2Green_  | phase  1  | offset -14.5975646238  | angle -4.33231398319  | z speed  -0.0571606028857  | time:  0.0221881866455
1_Stanley2Green_  | phase  1  | offset -12.6425881607  | angle -3.95233658212  | z speed  -0.0437798127056  | time:  0.022794008255
1_Stanley2Green_  | phase  1  | offset -12.6425881607  | angle -3.95233658212  | z speed  -0.0437798127056  | time:  0.0224771499634
1_Stanley2Green_  | phase  1  | offset -13.6947328588  | angle -4.12509877003  | z speed  -0.0531806917424  | time:  0.0243940353394
1_Stanley2Green_  | phase  1  | offset -12.5327053489  | angle -3.60659927232  | z speed  -0.06242022311  | time:  0.0225310325623
1_Stanley2Green_  | phase  1  | offset -12.9319131448  | angle -3.60659927232  | z speed  -0.0700279097265  | time:  0.0227799415588
1_Stanley2Green_  | phase  1  | offset -13.335101124  | angle -3.74492717354  | z speed  -0.0693117957524  | time:  0.0247189998627
1_Stanley2Green_  | phase  1  | offset -15.0944815366  | angle -4.26325459193  | z speed  -0.0701209662782  | time:  0.021858215332
1_Stanley2Green_  | phase  1  | offset -15.0944815366  | angle -4.26325459193  | z speed  -0.0701209662782  | time:  0.0229380130768
1_Stanley2Green_  | phase  1  | offset -11.3897410248  | angle -3.47440736753  | z speed  -0.0480310819698  | time:  0.0233869552612
1_Stanley2Green_  | phase  1  | offset -13.3174122113  | angle -4.00417294071  | z speed  -0.0534264525547  | time:  0.024316072464
1_Stanley2Green_  | phase  1  | offset -9.07200041147  | angle -2.86240522611  | z speed  -0.0371173824612  | time:  0.0250399112701
1_Stanley2Green_  | phase  1  | offset -9.07200041147  | angle -2.86240522611  | z speed  -0.0371173824612  | time:  0.0257408618927
1_Stanley2Green_  | phase  1  | offset -9.07200041147  | angle -2.86240522611  | z speed  -0.0371173824612  | time:  0.025120973587
1_Stanley2Green_  | phase  1  | offset -19.4032252091  | angle -5.7105931375  | z speed  -0.0533734342757  | time:  0.024472951889
1_Stanley2Green_  | phase  1  | offset 26.9627594365  | angle 4.69589619523  | z speed  0.212137812168  | time:  0.0235419273376
1_Stanley2Green_  | phase  1  | offset -24.8902285378  | angle -6.74861754604  | z speed  -0.0650016915508  | time:  0.0230069160461
1_Stanley2Green_  | phase  1  | offset 2.49089262225  | angle -0.208347370806  | z speed  0.0720856130098  | time:  0.0216579437256
1_Stanley2Green_  | phase  1  | offset -0.339351811279  | angle -0.902767871767  | z speed  0.0460221289994  | time:  0.0219340324402
1_Stanley2Green_  | phase  1  | offset 7.50417411878  | angle 1.28459915976  | z speed  0.0978900300798  | time:  0.0212259292603
1_Stanley2Green_  | phase  1  | offset -11.0363094129  | angle -3.20249608275  | z speed  -0.057284050783  | time:  0.0214328765869
1_Stanley2Green_  | phase  1  | offset -14.4854410199  | angle -3.8486445052  | z speed  -0.0841700794526  | time:  0.0225031375885
1_Stanley2Green_  | phase  1  | offset -14.9279521241  | angle -3.60659927232  | z speed  -0.106582694029  | time:  0.0218501091003
