1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_offset -5.000000000000014 mm / angle -3.56583252003647e-15deg / z speed -0.05955597904379885 CROSS::[]  | time:  0.003626585006713867
1_Stanley2Cross_offset -4.084773466741007 mm / angle 0.34724289708574263deg / z speed -0.06960868121203476 CROSS::[]  | time:  0.003367185592651367
1_Stanley2Cross_offset -3.7240447712802025 mm / angle 0.5902992659157668deg / z speed -0.0799219443165542 CROSS::[]  | time:  0.0034444332122802734
1_Stanley2Cross_offset -4.73629317963372 mm / angle 0.31251933436701995deg / z speed -0.07520875735079768 CROSS::[]  | time:  0.003108978271484375
1_Stanley2Cross_offset -6.0 mm / angle -3.255685111363025e-15deg / z speed -0.07123717529247882 CROSS::[]  | time:  0.005113363265991211
1_Stanley2Cross_offset -2.3695229064551464 mm / angle 0.6944602875497897deg / z speed -0.07005414236487907 CROSS::[]  | time:  0.014066219329833984
1_Stanley2Cross_offset -5.000000000000014 mm / angle -3.56583252003647e-15deg / z speed -0.05955597904379885 CROSS::[]  | time:  0.006736278533935547
1_Stanley2Cross_offset -3.387838967783316 mm / angle 0.2777955420771169deg / z speed -0.057182679825223265 CROSS::[]  | time:  0.004853248596191406
1_Stanley2Cross_offset -4.348484049865228 mm / angle 0.03472471060484737deg / z speed -0.05397226095213199 CROSS::[]  | time:  0.0032296180725097656
1_Stanley2Cross_offset -3.348484233519907 mm / angle 0.034724710604850426deg / z speed -0.04213094621529328 CROSS::[]  | time:  0.0034651756286621094
1_Stanley2Cross_offset -3.148484270250755 mm / angle 0.0347247106048639deg / z speed -0.039753532730912255 CROSS::[]  | time:  0.003440380096435547
1_Stanley2Cross_offset -4.6575543730776525 mm / angle -0.1736230428384852deg / z speed -0.045113744488326946 CROSS::[]  | time:  0.003523111343383789
1_Stanley2Cross_offset -2.845449842235523 mm / angle 0.10417402977702525deg / z speed -0.040313262302543784 CROSS::[]  | time:  0.0041158199310302734
1_Stanley2Cross_offset -3.999999999999986 mm / angle -2.888402130092781e-15deg / z speed -0.04777157040733504 CROSS::[]  | time:  0.003026723861694336
1_Stanley2Cross_offset -3.445448850502453 mm / angle 0.1041740297770261deg / z speed -0.04744951996238006 CROSS::[]  | time:  0.003595113754272461
1_Stanley2Cross_offset -3.999999999999986 mm / angle -2.888402130092781e-15deg / z speed -0.04777157040733504 CROSS::[]  | time:  0.003392934799194336
1_Stanley2Cross_offset -3.1424098144965975 mm / angle 0.17362304283851787deg / z speed -0.048015182543909324 CROSS::[]  | time:  0.003367900848388672
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.0031549930572509766
